CUENTA;BILLING;NRO_FACTURA;SCH_START_DATE;SCH_END_DATE;BILL_NUMBER;ID_CONCEPTO;DESCRIPCION_CONCEPTO;CANTIDAD;MONTO_NETO;MONTO_IMPUESTOS;MONTO_TOTAL
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"";"IMINT";"Impuesto Interno 4.17%";"0";"0";"0";"366,78";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"";"ENARD";"Cargo 1% financ ENARD Ley 26.573/09";"0";"0";"0";"137,05";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"00046";"Abono Adelantado";"31";"90";"18,9";"108,9";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"PIL6A";"Pack Internet Movil";"31";"100";"21";"121";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"P163A";"Servicio Factura Digital";"31";"0";"0";"0";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"GPAC1";"Paquete Basico GSM";"31";"0";"0";"0";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"CCL07";"CCL07";"0";"0";"0";"0";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"CADM";"Cargos Administrativos";"31";"0";"0";"0";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"BRP6V";"Bonificación RPV 100% siempre";"12";"-12";"-2,52";"-14,52";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"BBMIP";"Proporcional Bonificacion Pack Internet Movil";"3,2258";"-3,23";"-,68";"-3,91";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"50019";"Minutos Libres Utilizados";"4,76";"0";"0";"0";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"50004";"Estab. Llamadas Minutos Libres Utilizados";"3,5";"0";"0";"0";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"05476";"Minutos Libres Utilizados";"81,22";"0";"0";"0";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"05475";"Minutos Libres Utilizados";"19,94";"0";"0";"0";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"05437";"Estab. Llamadas Minutos Libres Utilizados";"41,5";"0";"0";"0";
"680714292";"27351";"33911666";"27/10/2015";"26/11/2015";"3874062349";"05436";"Estab. Llamadas Minutos Libres Utilizados";"12";"0";"0";"0";
